PLAYER,TEAM,CONF,POSITION,GAMES,VALUE_MILLIONS,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,GP,M0,ORPM,DRPM,RPM,WINS_RPM,PIE,PACE,W,SALARY_MILLIONS,PAGEVIEWS,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
Jeff Green,Orlando Magic,East,PF,41,920,30,22.2,3.2,8.1,0.394,0.8,2.8,0.275,2.4,5.3,0.458,0.442,2.1,2.4,0.863,0.6,2.5,3.1,1.2,0.5,0.2,1.1,1.5,9.2,69,22.2,-2.03,-1.31,-3.34,-0.21,7.7,98.84,26,15,14,57.5,28.5
Gerald Henderson,Philadelphia 76ers,East,SG,41,800,29,23.2,3.3,7.7,0.423,0.8,2.4,0.353,2.4,5.3,0.455,0.478,1.8,2.3,0.806,0.5,2.1,2.6,1.6,0.6,0.2,0.9,1.8,9.2,72,23.2,-1.51,-2.42,-3.93,-0.87,7.3,100.88,24,9,105,1,8
Michael Kidd-Gilchrist,Charlotte Hornets,East,SF,41,780,23,29,3.6,7.6,0.477,0,0.1,0.111,3.6,7.5,0.483,0.478,1.9,2.4,0.784,1.9,5,7,1.4,1,1,0.7,2.3,9.2,81,29,-1.97,2.47,0.5,5.31,9.3,97.79,36,13,575.5,29,11
Jameer Nelson,Denver Nuggets,West,PG,41,890,34,27.3,3.6,8.1,0.444,1.4,3.6,0.388,2.2,4.4,0.489,0.531,0.6,0.8,0.714,0.4,2.2,2.6,5.1,0.7,0.1,1.7,2.6,9.2,75,27.3,0.45,-0.44,0.01,4.17,7.5,100.06,34,4.54,369,0,9
Tony Allen,Memphis Grizzlies,West,SG,41,790,35,27,3.9,8.4,0.461,0.2,0.8,0.278,3.6,7.6,0.479,0.473,1.1,1.8,0.615,2.3,3.2,5.5,1.4,1.6,0.4,1.4,2.5,9.1,71,27,-2.03,2.15,0.12,3.76,8,93.85,36,5.51,17,10.5,11
Channing Frye,Cleveland Cavaliers,East,C,41,1200,33,18.9,3.2,7,0.458,1.9,4.5,0.409,1.4,2.5,0.546,0.589,0.9,1,0.851,0.5,3.4,3.9,0.6,0.4,0.5,0.7,1.9,9.1,74,18.9,1.62,-0.58,1.04,3.7,10.1,98.14,44,7.81,445,8,4
Jodie Meeks,Orlando Magic,East,SG,41,920,29,20.5,2.9,7.1,0.402,1.6,3.8,0.409,1.3,3.3,0.395,0.512,1.8,2.1,0.878,0.1,2,2.1,1.3,0.9,0.1,1,1.1,9.1,36,20.5,-0.05,-1.6,-1.65,0.7,8.1,100.24,14,6.54,173,36.5,15
Kelly Olynyk,Boston Celtics,East,C,41,2200,25,20.5,3.5,6.8,0.512,0.9,2.6,0.354,2.6,4.2,0.608,0.579,1.2,1.6,0.732,1,3.8,4.8,2,0.6,0.4,1.3,2.8,9,75,20.5,-0.31,0.81,0.5,3.54,11,99.85,49,3.09,457,56.5,16
Evan Turner,Portland Trail Blazers,West,SF,41,1050,28,25.5,3.6,8.5,0.426,0.5,1.8,0.263,3.1,6.7,0.47,0.454,1.3,1.6,0.825,0.6,3.2,3.8,3.2,0.8,0.4,1.5,1.9,9,65,25.5,-3.04,0.15,-2.89,0.25,8.8,99.29,34,16.39,564,17,13
DeMarre Carroll,Toronto Raptors,East,SF,41,1125,30,26.1,3.1,7.6,0.4,1.5,4.4,0.341,1.5,3.2,0.483,0.499,1.2,1.6,0.761,0.9,2.9,3.8,1,1.1,0.4,0.8,2,8.9,72,26.1,0,0.83,0.83,4.66,7.1,96.82,44,14.2,363.5,29.5,8
Al-Farouq Aminu,Portland Trail Blazers,West,SF,41,1050,26,29.1,3,7.6,0.393,1.1,3.5,0.33,1.9,4.2,0.445,0.468,1.6,2.2,0.706,1.3,6.1,7.4,1.6,1,0.7,1.5,1.7,8.7,61,29.1,-1.86,3.13,1.27,4.86,9.2,98.38,33,7.68,330.5,33,9
Marreese Speights,Los Angeles Clippers,West,C,41,2000,29,15.7,3,6.7,0.445,1.3,3.4,0.372,1.7,3.3,0.52,0.539,1.5,1.7,0.876,1.1,3.5,4.5,0.8,0.3,0.5,0.8,2.8,8.7,82,15.7,0.67,0.69,1.36,3.66,11.4,97.43,51,1.4,564.5,80,12
Tyson Chandler,Phoenix Suns,West,C,41,1100,34,27.6,3.3,4.9,0.671,0,0,-0.333,3.3,4.9,0.671,0.671,1.9,2.6,0.734,3.3,8.2,11.5,0.6,0.7,0.5,1.4,2.7,8.4,47,27.6,-1.06,2.2,1.14,3.55,13.1,101.88,15,12.42,832,29,9
Troy Daniels,Memphis Grizzlies,West,SG,41,790,25,17.7,2.8,7.4,0.374,2.1,5.3,0.389,0.7,2.1,0.336,0.513,0.6,0.8,0.796,0.3,1.2,1.5,0.7,0.3,0.1,0.7,1.3,8.2,67,17.7,-0.02,-2.1,-2.12,0.72,6.5,95.85,33,3.33,106,30,10
Willy Hernangomez,New York Knicks,East,C,41,3300,22,18.4,3.4,6.5,0.529,0.1,0.2,0.267,3.4,6.3,0.538,0.533,1.3,1.7,0.728,2.4,4.6,7,1.3,0.6,0.5,1.4,2.1,8.2,72,18.4,-0.75,0.4,-0.35,2.37,13.3,99.12,27,1.44,2,0,55.5
Caris LeVert,Brooklyn Nets,East,SF,41,1800,22,21.7,3,6.7,0.45,1,3.2,0.321,2,3.4,0.571,0.528,1.2,1.6,0.72,0.4,2.9,3.3,1.9,0.9,0.1,1,1.6,8.2,57,21.7,-0.46,-0.84,-1.3,1.53,8.6,104.52,15,1.56,198.5,0,28
Willie Cauley-Stein,Sacramento Kings,West,C,41,1075,23,18.9,3.4,6.4,0.53,0,0,0,3.4,6.4,0.532,0.53,1.3,2,0.669,1.1,3.4,4.5,1.1,0.7,0.6,0.9,2,8.1,75,18.9,-2.07,0.9,-1.17,1.72,10.6,96.91,29,3.55,456.5,0,17
Ben McLemore,Sacramento Kings,West,SG,41,1075,23,19.3,3,6.9,0.43,1.1,2.8,0.382,1.9,4.1,0.462,0.507,1.1,1.5,0.753,0.3,1.8,2.1,0.8,0.5,0.1,1,1.8,8.1,61,19.3,-2.88,-1.58,-4.46,-0.99,6,97.04,27,4.01,272.5,30,17
Tristan Thompson,Cleveland Cavaliers,East,C,41,1200,25,29.9,3.4,5.6,0.6,0,0,0,3.4,5.6,0.604,0.6,1.4,2.7,0.498,3.7,5.5,9.2,1,0.5,1.1,0.8,2.3,8.1,78,29.9,-1.31,1.31,0,4.62,8.9,98.28,50,15.33,1365.5,368,211
Vince Carter,Memphis Grizzlies,West,SF,41,790,40,24.6,2.6,6.7,0.394,1.5,4.1,0.378,1.1,2.7,0.418,0.508,1.2,1.6,0.765,0.5,2.6,3.1,1.8,0.8,0.5,0.7,2.2,8,73,24.7,1.36,-0.06,1.3,4.81,7.8,95.02,36,4.26,2891.5,0,7
Alex Len,Phoenix Suns,West,C,41,1100,23,20.3,3,6,0.497,0,0.2,0.25,2.9,5.9,0.503,0.5,1.9,2.7,0.721,2,4.6,6.6,0.6,0.5,1.3,1.3,3.1,8,77,20.3,-3.62,1.28,-2.34,0.81,9.5,103.52,21,4.82,270,10.5,6
Shelvin Mack,Utah Jazz,West,PG,41,910,26,21.9,3.1,6.9,0.446,0.7,2.2,0.308,2.4,4.7,0.51,0.495,1,1.4,0.688,0.4,1.9,2.3,2.8,0.8,0.1,1.6,1.8,7.8,55,21.9,-1.51,-1.28,-2.79,0.25,7.9,93.44,34,2.43,121.5,6,3
Rajon Rondo,Chicago Bulls,East,PG,41,2500,30,26.7,3.3,8.1,0.408,0.7,1.9,0.376,2.6,6.2,0.418,0.453,0.4,0.7,0.6,1.1,4.1,5.1,6.7,1.4,0.2,2.4,2.1,7.8,69,26.7,-1.35,-0.49,-1.84,1.51,10.6,97.96,34,14,1765,185.5,74
Garrett Temple,Sacramento Kings,West,SG,41,1075,30,26.6,2.8,6.6,0.424,1.3,3.4,0.373,1.6,3.3,0.476,0.519,0.9,1.1,0.784,0.5,2.3,2.8,2.6,1.3,0.4,1.2,2.2,7.8,65,26.6,-0.14,-0.46,-0.6,2.67,7.1,97.51,25,8,100,2,1
Matthew Dellavedova,Milwaukee Bucks,East,PG,41,785,26,26.1,2.7,7,0.39,1,2.8,0.367,1.7,4.2,0.404,0.463,1.1,1.3,0.854,0.3,1.6,1.9,4.7,0.7,0,1.8,2,7.6,76,26.1,-0.88,-1.01,-1.89,1.54,6.6,97.5,39,9.61,910.5,175,30
Luol Deng,Los Angeles Lakers,West,SF,41,3000,31,26.5,2.9,7.6,0.387,0.9,2.9,0.309,2,4.6,0.436,0.447,0.8,1.1,0.73,1.1,4.1,5.3,1.3,0.9,0.4,0.8,1.1,7.6,56,26.5,-1.87,1.54,-0.33,2.69,7.7,100.3,18,18,838,22,13.5
Andre Iguodala,Golden State Warriors,West,SF,41,2600,33,26.3,2.9,5.5,0.528,0.8,2.3,0.362,2,3.1,0.651,0.605,0.9,1.3,0.706,0.7,3.3,4,3.4,1,0.5,0.8,1.3,7.6,76,26.3,2.01,1.52,3.53,8.72,10.2,101.92,64,11.13,1748.5,300.5,43
Manu Ginobili,San Antonio Spurs,West,SG,41,1175,39,18.7,2.5,6.4,0.39,1.3,3.3,0.392,1.2,3.1,0.387,0.491,1.2,1.6,0.804,0.4,1.9,2.3,2.7,1.2,0.2,1.4,1.7,7.5,69,18.7,1.43,1,2.43,4.64,8.7,100.94,51,14,53,299,66
Danny Green,San Antonio Spurs,West,SG,41,1175,29,26.6,2.6,6.6,0.392,1.7,4.6,0.379,0.9,2,0.42,0.523,0.4,0.5,0.844,0.5,2.8,3.3,1.8,1,0.8,1.1,1.8,7.3,68,26.6,-0.45,1.71,1.26,4.83,6.9,94.47,51,10,6,0,15
David Lee,San Antonio Spurs,West,PF,41,1175,33,18.7,3.1,5.3,0.59,0,0,-0.333,3.1,5.3,0.59,0.59,1,1.4,0.708,1.9,3.7,5.6,1.6,0.4,0.5,1,1.6,7.3,79,18.7,-0.38,1.5,1.12,3.98,12.6,98.36,58,1.55,42,56.5,35
Thabo Sefolosha,Atlanta Hawks,East,SF,41,885,32,25.7,2.8,6.4,0.441,0.7,1.9,0.342,2.1,4.4,0.484,0.492,0.9,1.2,0.733,0.9,3.5,4.4,1.7,1.5,0.5,0.9,1.6,7.2,62,25.7,-1.93,2.27,0.34,3.55,8.6,99.53,32,3.85,280,28.5,17.5
Joe Ingles,Utah Jazz,West,SF,41,910,29,24,2.5,5.5,0.452,1.5,3.4,0.441,1,2.1,0.471,0.589,0.6,0.8,0.735,0.3,2.9,3.2,2.7,1.2,0.1,1.3,2,7.1,82,24,2.29,0.26,2.55,6.68,8.9,94.04,51,2.15,178,86.5,4
Jared Dudley,Phoenix Suns,West,PF,41,1100,31,21.3,2.5,5.4,0.454,1.2,3.2,0.379,1.3,2.2,0.559,0.565,0.7,1,0.662,0.5,3,3.5,1.9,0.7,0.3,1.1,2.4,6.8,64,21.3,-0.67,1.89,1.22,3.94,7.9,103.23,17,10.47,184,31,4
Patrick Patterson,Toronto Raptors,East,PF,41,1125,27,24.6,2.4,5.9,0.401,1.4,3.9,0.372,0.9,2,0.458,0.523,0.7,0.9,0.717,1,3.6,4.5,1.2,0.6,0.4,0.6,1.8,6.8,65,24.6,1.05,1.26,2.31,5.4,7.5,97.3,42,6.05,8,53.5,8
Bobby Portis,Chicago Bulls,East,PF,41,2500,21,15.6,2.9,5.9,0.488,0.5,1.5,0.333,2.4,4.4,0.541,0.531,0.6,0.9,0.661,1.2,3.5,4.6,0.5,0.3,0.2,0.6,1.5,6.8,64,15.6,-1.94,-0.5,-2.44,0.43,11,97.38,30,1.45,193,37,73
Bobby Portis,Chicago Bulls,East,PF,41,2500,21,15.6,2.9,5.9,0.488,0.5,1.5,0.333,2.4,4.4,0.541,0.531,0.6,0.9,0.661,1.2,3.5,4.6,0.5,0.3,0.2,0.6,1.5,6.8,64,15.6,-1.94,-0.5,-2.44,0.43,11,97.38,30,1.52,193,37,73
Brandan Wright,Memphis Grizzlies,West,PF,41,790,29,16,3,4.8,0.615,0,0,0,3,4.8,0.619,0.615,0.8,1.3,0.657,1.1,1.7,2.8,0.5,0.4,0.7,0.4,1.5,6.8,28,16,-0.86,0.4,-0.46,0.71,11.6,93.54,14,5.71,152.5,0,6
Alec Burks,Utah Jazz,West,SG,41,910,25,15.5,2.4,5.9,0.399,0.6,1.8,0.329,1.8,4.1,0.43,0.45,1.4,1.9,0.769,0.4,2.5,2.9,0.7,0.4,0.1,0.8,1.2,6.7,42,15.5,-2.47,-0.94,-3.41,-0.12,8.7,95.94,26,10.15,111,10,15
Dwight Powell,Dallas Mavericks,West,C,41,1450,25,17.3,2.5,4.9,0.515,0.3,1,0.284,2.2,3.9,0.571,0.542,1.4,1.8,0.759,1.2,2.8,4,0.6,0.8,0.5,0.4,1.8,6.7,77,17.3,-0.66,-0.51,-1.17,1.58,10.7,93.78,30,8.38,213,0,10
Jaylen Brown,Boston Celtics,East,SF,41,2200,20,17.2,2.5,5.4,0.454,0.6,1.7,0.341,1.9,3.7,0.507,0.508,1.1,1.6,0.685,0.6,2.2,2.8,0.8,0.4,0.2,0.9,1.8,6.6,78,17.2,-2.95,-0.42,-3.37,-0.21,7.1,99.02,50,4.74,441,0,100
Michael Carter-Williams,Chicago Bulls,East,PG,41,2500,25,18.8,2.5,6.8,0.366,0.3,1.4,0.234,2.2,5.4,0.401,0.391,1.3,1.7,0.753,0.5,2.9,3.4,2.5,0.8,0.5,1.5,2.3,6.6,45,18.8,-2.82,1.12,-1.7,0.77,7,98.47,25,3.18,645,0,5
Dante Cunningham,New Orleans Pelicans,West,SF,41,750,29,25,2.6,5.4,0.485,1.1,2.7,0.392,1.6,2.7,0.579,0.584,0.2,0.4,0.593,0.8,3.3,4.2,0.6,0.6,0.4,0.4,1.5,6.6,66,25,-0.37,-0.56,-0.93,2.29,6.8,99.77,28,2.98,97.5,0,3
Kosta Koufos,Sacramento Kings,West,C,41,1075,27,20,3,5.5,0.551,0,0,0,3,5.5,0.552,0.551,0.5,0.9,0.613,1.7,4,5.7,0.7,0.5,0.7,0.9,2.4,6.6,71,20,-2.78,2.83,0.05,2.79,9.3,96.17,27,8.05,189,37,8
Andre Roberson,Oklahoma City Thunder,West,SF,41,1025,25,30.1,2.7,5.9,0.464,0.6,2.3,0.245,2.2,3.5,0.609,0.513,0.6,1.4,0.423,1.2,3.9,5.1,1,1.2,1,0.6,2.6,6.6,79,30.1,-1.4,2.64,1.24,6.73,5.9,101.08,46,2.18,7.5,10,8
Sam Dekker,Houston Rockets,West,SF,41,1650,22,18.4,2.6,5.6,0.473,0.8,2.4,0.321,1.9,3.1,0.591,0.543,0.5,0.9,0.559,1.2,2.5,3.7,1,0.5,0.3,0.5,1.1,6.5,77,18.4,0.05,-1.42,-1.37,1.64,8.7,102.25,52,1.72,331,139,13
Amir Johnson,Boston Celtics,East,PF,41,2200,29,20.1,2.7,4.6,0.576,0.3,0.8,0.409,2.3,3.8,0.612,0.612,0.8,1.3,0.67,1.5,3.1,4.6,1.8,0.6,0.8,1,2.6,6.5,80,20.1,0.22,3.58,3.8,7.02,9.1,97.94,51,12,282,31.5,6
Kyle O'Quinn,New York Knicks,East,C,41,3300,26,15.6,2.7,5.2,0.521,0,0.2,0.118,2.7,5,0.538,0.523,0.8,1.1,0.771,2,3.6,5.6,1.5,0.5,1.3,1,2.2,6.3,79,15.6,-1.28,1.16,-0.12,2.31,13.2,97.82,29,3.92,152,0,7
Dante Exum,Utah Jazz,West,PG,41,910,21,18.6,2.3,5.5,0.427,0.7,2.3,0.295,1.7,3.2,0.519,0.488,0.9,1.1,0.795,0.5,1.5,2,1.7,0.3,0.2,1.2,2.2,6.2,66,18.6,-2.14,-0.65,-2.79,0.25,5.4,94.42,40,3.94,483,48.5,28
Trey Lyles,Utah Jazz,West,PF,41,910,21,16.3,2.2,6.2,0.362,0.9,2.9,0.319,1.3,3.3,0.4,0.436,0.8,1.1,0.722,0.7,2.6,3.3,1,0.4,0.3,0.9,1.4,6.2,71,16.3,-2.48,-0.23,-2.71,0.29,7.6,94.43,43,2.34,334.5,48,12
Chandler Parsons,Memphis Grizzlies,West,SF,41,790,28,19.9,2.2,6.5,0.338,0.7,2.7,0.269,1.5,3.8,0.388,0.394,1,1.3,0.814,0.2,2.3,2.5,1.6,0.6,0.1,0.7,1.5,6.2,34,19.9,-3.51,-0.33,-3.84,-0.29,5.6,94.04,18,22.12,555.5,59,16
JaVale McGee,Golden State Warriors,West,C,41,2600,29,9.6,2.7,4.1,0.652,0,0,0,2.7,4.1,0.658,0.652,0.7,1.4,0.505,1.3,1.9,3.2,0.2,0.2,0.9,0.5,1.4,6.1,77,9.6,0.83,0.11,0.94,2.04,12.5,105.1,62,1.4,804.5,0,32
Jerian Grant,Chicago Bulls,East,PG,41,2500,24,16.3,2,4.8,0.425,0.8,2.1,0.366,1.3,2.7,0.473,0.507,1,1.2,0.89,0.3,1.5,1.8,1.9,0.7,0.1,0.7,1.5,5.9,63,16.3,0.5,1.07,1.57,3.03,8.4,97,29,1.64,371,25,32.5
Andrew Harrison,Memphis Grizzlies,West,PG,41,790,22,20.5,1.6,5,0.325,0.6,2.2,0.276,1,2.8,0.363,0.385,2.1,2.7,0.763,0.3,1.6,1.9,2.8,0.7,0.3,1.2,2.7,5.9,72,20.5,-1.2,-0.38,-1.58,1.38,5.3,94.76,38,1.31,5,0,17
Domantas Sabonis,Oklahoma City Thunder,West,PF,41,1025,20,20.1,2.4,5.9,0.399,0.6,2,0.321,1.7,4,0.438,0.452,0.5,0.8,0.657,0.6,3,3.6,1,0.5,0.4,1,2.5,5.9,81,20.1,-3.9,1.86,-2.04,1.14,4.9,99.61,46,2.44,550.5,0,82
Ian Mahinmi,Washington Wizards,East,C,41,1000,30,17.9,2.1,3.6,0.586,0,0,-0.333,2.1,3.6,0.586,0.586,1.4,2.4,0.573,1.5,3.3,4.8,0.6,1.1,0.8,1.1,2.9,5.6,31,17.9,-2.22,3.11,0.89,1.44,8.2,98.9,19,15.94,162.5,10,5
Georgios Papagiannis,Sacramento Kings,West,C,41,1075,19,16.1,2.5,4.6,0.549,0,0.1,0,2.5,4.5,0.56,0.549,0.5,0.6,0.857,1.1,2.8,3.9,0.9,0.1,0.8,1.1,2,5.6,22,16.1,-2.47,-0.3,-2.77,0.08,8.2,96.93,7,2.2,172,7,3
Delon Wright,Toronto Raptors,East,PG,41,1125,24,16.5,1.8,4.3,0.422,0.4,1.1,0.333,1.4,3.2,0.453,0.466,1.6,2,0.764,0.6,1.2,1.8,2.1,1,0.4,0.9,1.1,5.6,27,16.5,-1.28,0.98,-0.3,0.77,10.5,94.48,19,1.58,202.5,11.5,14
Terry Rozier,Boston Celtics,East,PG,41,2200,22,17.1,2,5.6,0.367,0.8,2.4,0.318,1.3,3.1,0.405,0.437,0.7,0.9,0.773,0.5,2.5,3.1,1.8,0.6,0.1,0.6,0.9,5.5,74,17.1,-1.05,-0.01,-1.06,1.65,9.1,98.27,47,1.91,208,2,6
Malcolm Delaney,Atlanta Hawks,East,PG,41,885,27,17.1,2,5.3,0.374,0.4,1.5,0.236,1.6,3.8,0.428,0.407,1,1.3,0.806,0.1,1.5,1.7,2.6,0.5,0,1.3,1.5,5.4,73,17.1,-2.64,-0.25,-2.89,0.18,6.4,98.7,37,2.5,183.5,1,1
Meyers Leonard,Portland Trail Blazers,West,PF,41,1050,24,16.5,2,5.1,0.386,1,2.9,0.347,1,2.2,0.436,0.484,0.5,0.5,0.875,0.4,2.8,3.2,1,0.2,0.4,0.5,2.3,5.4,74,16.5,-1.5,0.26,-1.24,1.48,6.1,99.44,37,9.21,276,149,31
Randy Foye,Brooklyn Nets,East,SG,41,1800,33,18.6,1.7,4.7,0.363,1,2.9,0.33,0.7,1.8,0.418,0.466,0.8,0.9,0.857,0.1,2.1,2.2,2,0.5,0.1,1.2,1.4,5.2,69,18.6,-2.7,-1.42,-4.12,-0.85,5.7,103.71,17,2.5,267.5,2,4
Luis Scola,Brooklyn Nets,East,PF,41,1800,36,12.8,2,4.2,0.47,0.5,1.4,0.34,1.5,2.8,0.535,0.526,0.7,1,0.676,1.4,2.4,3.9,1,0.4,0.1,0.9,1.8,5.1,36,12.8,-0.8,-0.29,-1.09,0.62,8.9,102.58,7,5.5,416,16,60
Denzel Valentine,Chicago Bulls,East,SG,41,2500,23,17.1,1.8,5.1,0.354,1.3,3.6,0.351,0.5,1.4,0.363,0.481,0.2,0.3,0.778,0.2,2.5,2.6,1.1,0.5,0.1,0.9,1.5,5.1,57,17.1,-2.21,0.13,-2.08,0.64,5.8,97.94,28,2.09,403,23,24
Anthony Bennett,Brooklyn Nets,East,PF,41,1800,23,11.5,1.7,4,0.413,0.6,2.1,0.271,1.1,1.9,0.568,0.484,1.1,1.6,0.722,1.1,2.3,3.4,0.5,0.2,0.1,0.5,0.8,5,23,11.5,-0.76,-1.29,-2.05,0.19,9.4,104.03,3,1.02,19,9,10.5
Aaron Brooks,Indiana Pacers,East,PG,41,880,32,13.8,1.9,4.6,0.403,0.7,2,0.375,1.1,2.6,0.424,0.483,0.5,0.6,0.8,0.3,0.8,1.1,1.9,0.4,0.1,1,1.4,5,65,13.8,-1.81,-1.47,-3.28,-0.09,6.2,96.55,36,2.7,10,1,3
Trey Burke,Washington Wizards,East,PG,41,1000,24,12.3,2,4.5,0.455,0.5,1.2,0.443,1.5,3.2,0.459,0.516,0.4,0.5,0.759,0.1,0.7,0.8,1.8,0.2,0.1,0.8,0.9,5,57,12.3,-2.15,-3.09,-5.24,-0.92,8.1,96.37,35,3.39,429.5,41,14
Joakim Noah,New York Knicks,East,C,41,3300,31,22.1,2.2,4.4,0.49,0,0,0,2.2,4.4,0.493,0.49,0.7,1.7,0.436,3.5,5.2,8.8,2.2,0.7,0.8,1.3,2.8,5,46,22.1,-2.23,1.17,-1.06,1.32,9.4,98.45,17,17,1202.5,0,87
Mario Hezonja,Orlando Magic,East,SF,41,920,21,14.8,1.8,5.1,0.355,0.7,2.2,0.299,1.1,2.9,0.398,0.42,0.6,0.8,0.8,0.3,1.9,2.2,1,0.5,0.2,0.9,1.1,4.9,65,14.8,-4.4,-2.2,-6.6,-2.09,5.9,97.48,20,3.91,396.5,272,207
Tiago Splitter,Philadelphia 76ers,East,C,41,800,32,9.5,1.8,3.9,0.452,0.3,0.8,0.333,1.5,3.1,0.48,0.484,1.1,1.4,0.818,1,1.8,2.8,0.5,0.1,0.1,0.8,1,4.9,8,9.5,-1.97,0.69,-1.28,0.09,10.6,99.11,1,8.55,274.5,8,9
Kevin Seraphin,Indiana Pacers,East,PF,41,880,27,11.4,2.2,4,0.551,0,0,0,2.2,4,0.556,0.551,0.3,0.4,0.636,0.8,2.1,2.9,0.5,0.1,0.4,0.6,1.3,4.7,49,11.4,-2.94,-1.07,-4.01,-0.31,9.5,96.87,23,1.8,16,4.5,8
Isaiah Canaan,Chicago Bulls,East,SG,41,2500,25,15.2,1.6,4.4,0.364,0.6,2.4,0.266,1,2,0.481,0.436,0.8,0.8,0.909,0.2,1.1,1.3,0.9,0.6,0,0.5,0.9,4.6,39,15.2,-3,-1.12,-4.12,-0.37,5.6,96.46,19,1.02,180.5,24.5,8
Boris Diaw,Utah Jazz,West,PF,41,910,34,17.6,2,4.5,0.446,0.3,1.1,0.247,1.7,3.4,0.512,0.477,0.4,0.5,0.743,0.6,1.5,2.2,2.3,0.2,0.1,1.2,1.1,4.6,73,17.6,-2.58,-0.5,-3.08,0.03,7.1,93.08,45,7,489.5,136.5,13
Kris Humphries,Atlanta Hawks,East,PF,41,885,31,12.3,1.6,3.8,0.407,0.3,1,0.352,1.2,2.9,0.425,0.451,1.1,1.5,0.78,1.1,2.6,3.7,0.5,0.3,0.4,0.5,1.2,4.6,56,12.3,-2.3,0.41,-1.89,0.54,10.5,98.12,31,4,2940.5,67,9
Reggie Bullock,Detroit Pistons,East,SF,41,900,25,15.1,1.7,4.1,0.422,0.9,2.4,0.384,0.8,1.8,0.473,0.531,0.2,0.2,0.714,0.4,1.6,2.1,0.9,0.6,0.1,0.3,0.7,4.5,31,15.1,-0.98,0.57,-0.41,0.79,8.1,98.05,13,2.26,125,20,13
Stanley Johnson,Detroit Pistons,East,SF,41,900,20,17.8,1.7,4.7,0.353,0.6,2,0.292,1.1,2.7,0.398,0.415,0.5,0.7,0.679,0.5,2,2.5,1.4,0.7,0.3,0.9,1.6,4.4,77,17.8,-2.34,-0.04,-2.38,0.63,4.8,96.99,35,2.97,10,0,19
Noah Vonleh,Portland Trail Blazers,West,PF,41,1050,21,17.1,1.8,3.6,0.481,0.1,0.3,0.35,1.7,3.4,0.492,0.494,0.8,1.3,0.638,1.8,3.5,5.2,0.4,0.4,0.4,0.9,2.1,4.4,74,17.1,-4.02,1.03,-2.99,0.11,7.3,98.18,38,2.75,218,23.5,12
Brandon Rush,Minnesota Timberwolves,West,SG,41,770,31,21.9,1.5,4,0.374,0.9,2.4,0.386,0.6,1.6,0.356,0.492,0.3,0.4,0.722,0.3,1.8,2.1,1,0.5,0.5,0.6,0.9,4.2,47,21.9,-3.13,-0.73,-3.86,-0.48,4.3,96.76,15,3.5,412.5,14,1.5
Thon Maker,Milwaukee Bucks,East,C,41,785,19,9.9,1.5,3.2,0.459,0.5,1.3,0.378,1,1.9,0.514,0.536,0.6,0.9,0.653,0.7,1.3,2,0.4,0.2,0.5,0.3,1.5,4,57,9.9,-1.23,0.17,-1.06,0.7,7.2,94,31,2.57,976,0,39.5
Jarell Martin,Memphis Grizzlies,West,PF,41,790,22,13.3,1.4,3.6,0.384,0.2,0.6,0.36,1.2,3,0.389,0.414,1,1.2,0.8,1,2.9,3.9,0.2,0.4,0.2,0.7,2.2,3.9,42,13.3,-4.23,1.17,-3.06,0.02,6.9,97.39,23,1.47,80.5,2,4
Malik Beasley,Denver Nuggets,West,SG,41,890,20,7.5,1.5,3.3,0.452,0.4,1.3,0.321,1.1,2,0.533,0.514,0.4,0.5,0.8,0.2,0.5,0.8,0.5,0.3,0,0.4,0.5,3.8,22,7.5,-1.74,0.21,-1.53,0.18,8.6,103.72,12,1.63,159,0,14
Kris Dunn,Minnesota Timberwolves,West,PG,41,770,22,17.1,1.5,4,0.377,0.3,0.9,0.288,1.2,3.1,0.404,0.411,0.5,0.8,0.61,0.3,1.8,2.1,2.4,1,0.5,1.1,2.3,3.8,78,17.1,-2.64,-0.41,-3.05,0.06,5.1,96.78,30,3.87,597.5,165,47
Jonas Jerebko,Boston Celtics,East,PF,41,2200,29,15.8,1.5,3.4,0.435,0.6,1.7,0.346,0.9,1.7,0.523,0.521,0.3,0.5,0.703,0.8,2.7,3.5,0.9,0.3,0.2,0.5,1.6,3.8,78,15.8,-0.89,-0.14,-1.03,1.63,6.9,98.94,51,5,215.5,7,17
Tyus Jones,Minnesota Timberwolves,West,PG,41,770,20,12.9,1.3,3,0.414,0.4,1.2,0.356,0.8,1.8,0.454,0.486,0.6,0.7,0.767,0.2,1,1.1,2.6,0.8,0.1,0.6,0.8,3.5,60,12.9,0.11,-0.34,-0.23,1.4,9.6,97.51,23,1.47,472,0,14
Adreian Payne,Minnesota Timberwolves,West,PF,41,770,25,7.5,1.3,3,0.426,0.2,0.8,0.2,1.1,2.2,0.513,0.454,0.8,1.1,0.737,0.5,1.3,1.8,0.4,0.4,0.4,0.4,1.8,3.5,18,7.5,-1.69,1.36,-0.33,0.24,8.2,96.52,5,2.02,166,0,13
