PLAYER,TEAM,CONF,POSITION,GAMES,VALUE_MILLIONS,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,GP,M0,ORPM,DRPM,RPM,WINS_RPM,PIE,PACE,W,SALARY_MILLIONS,PAGEVIEWS,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
Enes Kanter,Oklahoma City Thunder,West,C,41,1025,24,21.3,5.6,10.2,0.545,0.1,0.5,0.132,5.5,9.7,0.568,0.549,3.1,4,0.786,2.7,4,6.7,0.9,0.4,0.5,1.7,2.1,14.3,72,21.3,0.56,-1.24,-0.68,2.4,15.4,99.17,43,17.15,713,147,195
Dirk Nowitzki,Dallas Mavericks,West,PF,41,1450,38,26.4,5.5,12.6,0.437,1.5,3.9,0.378,4,8.7,0.463,0.495,1.8,2.1,0.875,0.4,6.1,6.5,1.5,0.6,0.7,0.9,2.1,14.2,54,26.4,-0.38,0.64,0.26,3.02,12.4,96.06,23,25,2960,1564,500.5
Zach Randolph,Memphis Grizzlies,West,PF,41,790,35,24.5,5.9,13.2,0.449,0.3,1.3,0.223,5.6,11.9,0.474,0.46,1.9,2.6,0.731,2.5,5.7,8.2,1.7,0.5,0.1,1.4,1.9,14.1,73,24.5,-0.37,-1.05,-1.42,1.83,15.2,94.36,38,10.36,528.5,47,18.5
Rudy Gobert,Utah Jazz,West,C,41,910,24,33.9,5.1,7.7,0.661,0,0,0,5.1,7.7,0.662,0.661,3.8,5.9,0.653,3.9,8.9,12.8,1.2,0.6,2.6,1.8,3,14,81,33.9,0.35,6.02,6.37,15.55,16.1,93.11,51,2.12,368.5,731,225.5
Al Horford,Boston Celtics,East,C,41,2200,30,32.3,5.6,11.8,0.473,1.3,3.6,0.355,4.3,8.2,0.524,0.527,1.6,2,0.8,1.4,5.4,6.8,5,0.8,1.3,1.7,2,14,68,32.3,0.76,1.06,1.82,6.93,12.5,98.96,46,26.54,870,136,71
Marcus Morris,Detroit Pistons,East,SF,41,900,27,32.5,5.3,12.7,0.418,1.5,4.5,0.331,3.8,8.2,0.466,0.477,1.8,2.3,0.784,1,3.7,4.6,2,0.7,0.3,1.1,2.1,14,79,32.5,-0.11,0.63,0.52,5.85,8,97.01,36,4.62,5.5,6,23
Markieff Morris,Washington Wizards,East,PF,41,1000,27,31.2,5.3,11.7,0.457,0.9,2.6,0.362,4.4,9.1,0.483,0.497,2.4,2.8,0.837,1.4,5.1,6.5,1.7,1.1,0.6,1.7,3.3,14,76,31.2,-0.55,2.41,1.86,7.61,8.9,100.12,45,7.4,331.5,9,18
Jae Crowder,Boston Celtics,East,SF,41,2200,26,32.4,4.6,10,0.463,2.2,5.5,0.398,2.4,4.5,0.54,0.572,2.4,3,0.811,0.7,5.1,5.8,2.2,1,0.3,1.1,2.2,13.9,72,32.4,2.2,1.69,3.89,10.52,10.3,99.94,48,6.29,438.5,55,47
Kentavious Caldwell-Pope,Detroit Pistons,East,SG,41,900,23,33.3,4.9,12.2,0.399,2,5.8,0.35,2.9,6.5,0.442,0.481,2,2.4,0.832,0.7,2.5,3.3,2.5,1.2,0.2,1.1,1.6,13.8,76,33.3,0.71,-1.31,-0.6,4.02,7.8,97.61,33,3.68,223.5,9,10
Will Barton,Denver Nuggets,West,SG,41,890,26,28.4,4.9,11.1,0.443,1.5,3.9,0.37,3.5,7.2,0.483,0.508,2.4,3.2,0.753,1,3.4,4.3,3.4,0.8,0.5,1.6,1.8,13.7,60,28.4,0.05,-1.2,-1.15,2.2,10.2,100.14,31,3.53,190,1,3
Tyler Johnson,Miami Heat,East,PG,41,1350,24,29.8,4.9,11.3,0.433,1.3,3.4,0.372,3.6,7.9,0.46,0.49,2.7,3.5,0.768,0.7,3.3,4,3.2,1.2,0.6,1.2,2.4,13.7,73,29.8,0.13,0.18,0.31,4.72,10.8,98.21,35,5.63,11,3,6
Dwight Howard,Atlanta Hawks,East,C,41,885,31,29.7,5.2,8.3,0.633,0,0,0,5.2,8.3,0.635,0.633,3.1,5.7,0.533,4,8.7,12.7,1.4,0.9,1.2,2.3,2.7,13.5,74,29.7,-1.7,2.6,0.9,5.65,15.1,99.8,37,23.18,2558.5,7,1
Darren Collison,Sacramento Kings,West,PG,41,1075,29,30.3,5,10.5,0.476,1.1,2.6,0.417,3.9,7.9,0.495,0.527,2.2,2.5,0.86,0.3,1.9,2.2,4.6,1,0.1,1.7,1.8,13.2,68,30.3,1.06,-1.47,-0.41,3.44,10,96.23,26,5.23,295,4,7
Julius Randle,Los Angeles Lakers,West,PF,41,3000,22,28.8,5.1,10.4,0.488,0.2,0.9,0.27,4.9,9.6,0.507,0.499,2.8,3.8,0.723,2,6.6,8.6,3.6,0.7,0.5,2.3,3.4,13.2,74,28.8,-0.79,-1.03,-1.82,1.83,11.3,100.9,24,3.27,519,102,59
Nick Young,Los Angeles Lakers,West,SG,41,3000,31,25.9,4.5,10.6,0.43,2.8,7,0.404,1.7,3.5,0.481,0.564,1.3,1.5,0.856,0.4,1.9,2.3,1,0.6,0.2,0.6,2.3,13.2,60,25.9,2.28,-1.63,0.65,3.82,7.5,100.59,19,5.44,27,45.5,14
Elfrid Payton,Orlando Magic,East,PG,41,920,22,29.4,5.2,11.1,0.471,0.5,1.8,0.274,4.8,9.3,0.509,0.493,1.8,2.6,0.692,1.1,3.6,4.7,6.5,1.1,0.5,2.2,2.2,12.8,82,29.4,1.12,-0.78,0.34,5.38,11.7,100.23,29,2.61,4,19,8
Aaron Gordon,Orlando Magic,East,SF,41,920,21,28.7,4.9,10.8,0.454,1,3.3,0.288,4,7.5,0.528,0.499,2,2.7,0.719,1.5,3.6,5.1,1.9,0.8,0.5,1.1,2.2,12.7,80,28.7,1.25,-0.78,0.47,5.32,8.8,99.7,29,4.35,666,42.5,16
Pau Gasol,San Antonio Spurs,West,C,41,1175,36,25.4,4.7,9.4,0.502,0.9,1.6,0.538,3.9,7.8,0.494,0.548,2,2.9,0.707,1.7,6.2,7.8,2.3,0.4,1.1,1.3,1.7,12.4,64,25.4,0.86,1.49,2.35,5.48,14.3,95.48,47,15.5,1983.5,882.5,148.5
Jamal Crawford,Los Angeles Clippers,West,SG,41,2000,36,26.3,4.4,10.6,0.413,1.4,3.9,0.36,3,6.7,0.443,0.479,2.1,2.5,0.857,0.2,1.4,1.6,2.6,0.7,0.2,1.6,1.4,12.3,82,26.3,-0.06,-3.18,-3.24,-0.16,7.9,98.53,51,13.25,1010,49,32
Austin Rivers,Los Angeles Clippers,West,SG,41,2000,24,27.8,4.4,9.9,0.442,1.5,4,0.371,2.9,5.8,0.491,0.518,1.8,2.6,0.691,0.3,1.9,2.2,2.8,0.6,0.1,1.6,2.5,12,74,27.8,-0.17,-1.73,-1.9,1.62,6.9,98.18,43,11,525,75.5,23
Jonas Valanciunas,Toronto Raptors,East,C,41,1125,24,25.8,4.9,8.8,0.557,0,0,0.5,4.9,8.8,0.557,0.558,2.2,2.7,0.811,2.8,6.7,9.5,0.7,0.5,0.8,1.3,2.7,12,80,25.8,-0.74,0.75,0.01,4.06,13.6,96.61,50,14.38,6,65,40
Trevor Ariza,Houston Rockets,West,SF,41,1650,31,34.7,4.1,10,0.409,2.4,6.9,0.344,1.7,3,0.556,0.528,1.2,1.6,0.738,0.7,5.1,5.7,2.2,1.8,0.3,0.9,1.7,11.7,80,34.7,0.86,1.07,1.93,9.29,8.5,102.78,53,7.81,417.5,10,15
Frank Kaminsky,Charlotte Hornets,East,C,41,780,23,26.1,4.3,10.7,0.399,1.5,4.7,0.328,2.7,6,0.455,0.471,1.6,2.1,0.756,0.8,3.7,4.5,2.2,0.6,0.5,1,1.9,11.7,75,26.1,0.96,-0.51,0.45,4.4,8.5,98.15,31,2.73,517,112.5,29
Greg Monroe,Milwaukee Bucks,East,C,41,785,26,22.5,4.8,9,0.533,0,0,0,4.8,8.9,0.536,0.533,2.2,3,0.741,2.1,4.5,6.6,2.3,1.1,0.5,1.7,2.1,11.7,81,22.5,1.08,0.47,1.55,5.34,13.9,96.98,42,17.15,271,9,7
Steven Adams,Oklahoma City Thunder,West,C,41,1025,23,29.9,4.7,8.2,0.571,0,0,0,4.7,8.2,0.572,0.571,2,3.2,0.611,3.5,4.2,7.7,1.1,1.1,1,1.8,2.4,11.3,80,29.9,-0.3,1.68,1.38,7.01,9.7,101.16,47,3.14,1132,36,99
Ricky Rubio,Minnesota Timberwolves,West,PG,41,770,26,32.9,3.5,8.7,0.402,0.8,2.6,0.306,2.7,6.1,0.443,0.448,3.4,3.8,0.891,0.9,3.2,4.1,9.1,1.7,0.1,2.6,2.7,11.1,75,32.9,1.73,0.76,2.49,8.72,11.4,97.07,28,13.55,763,262.5,76
